"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt"
"947257","800500","2025-10-04","66.00","NZD","2025-10-03 12:16:47"
"947257","808446","2025-10-04","42.00","NZD","2025-10-03 12:16:47"
"963009","822904","2025-10-04","68.20","NZD","2025-10-03 12:16:47"
"963009","822930","2025-10-04","43.40","NZD","2025-10-03 12:16:47"
"947254","800497","2025-10-04","72.60","NZD","2025-10-03 12:16:47"
"947254","808445","2025-10-04","46.20","NZD","2025-10-03 12:16:47"
"947257","800500","2025-10-05","61.60","NZD","2025-10-03 12:16:47"
"947257","808446","2025-10-05","39.20","NZD","2025-10-03 12:16:47"
"963010","822905","2025-10-05","62.70","NZD","2025-10-03 12:16:47"
"963010","822931","2025-10-05","39.90","NZD","2025-10-03 12:16:47"
"963009","822904","2025-10-05","63.80","NZD","2025-10-03 12:16:47"
"963009","822930","2025-10-05","40.60","NZD","2025-10-03 12:16:47"
"947254","800497","2025-10-05","68.20","NZD","2025-10-03 12:16:47"
"947254","808445","2025-10-05","43.40","NZD","2025-10-03 12:16:47"
"978443","845214","2025-10-05","69.30","NZD","2025-10-03 12:16:47"
"978443","845215","2025-10-05","44.10","NZD","2025-10-03 12:16:47"
"947257","800500","2025-10-06","61.60","NZD","2025-10-03 12:16:48"
"947257","808446","2025-10-06","39.20","NZD","2025-10-03 12:16:48"
"963010","822905","2025-10-06","62.70","NZD","2025-10-03 12:16:48"
"963010","822931","2025-10-06","39.90","NZD","2025-10-03 12:16:48"
"963009","822904","2025-10-06","63.80","NZD","2025-10-03 12:16:48"
"963009","822930","2025-10-06","40.60","NZD","2025-10-03 12:16:48"
"947254","800497","2025-10-06","68.20","NZD","2025-10-03 12:16:48"
"947254","808445","2025-10-06","43.40","NZD","2025-10-03 12:16:48"
"978443","845214","2025-10-06","69.30","NZD","2025-10-03 12:16:48"
"978443","845215","2025-10-06","44.10","NZD","2025-10-03 12:16:48"
"947257","800500","2025-10-07","60.50","NZD","2025-10-03 12:16:48"
"947257","808446","2025-10-07","38.50","NZD","2025-10-03 12:16:48"
"963010","822905","2025-10-07","61.60","NZD","2025-10-03 12:16:48"
"963010","822931","2025-10-07","39.20","NZD","2025-10-03 12:16:48"
"963009","822904","2025-10-07","62.70","NZD","2025-10-03 12:16:48"
"963009","822930","2025-10-07","39.90","NZD","2025-10-03 12:16:48"
"947254","800497","2025-10-07","67.10","NZD","2025-10-03 12:16:48"
"947254","808445","2025-10-07","42.70","NZD","2025-10-03 12:16:48"
"978443","845214","2025-10-07","68.20","NZD","2025-10-03 12:16:48"
"978443","845215","2025-10-07","43.40","NZD","2025-10-03 12:16:48"
"947257","800500","2025-10-08","61.60","NZD","2025-10-03 12:16:49"
"947257","808446","2025-10-08","39.20","NZD","2025-10-03 12:16:49"
"963010","822905","2025-10-08","62.70","NZD","2025-10-03 12:16:49"
"963010","822931","2025-10-08","39.90","NZD","2025-10-03 12:16:49"
"963009","822904","2025-10-08","63.80","NZD","2025-10-03 12:16:49"
"963009","822930","2025-10-08","40.60","NZD","2025-10-03 12:16:49"
"947254","800497","2025-10-08","68.20","NZD","2025-10-03 12:16:49"
"947254","808445","2025-10-08","43.40","NZD","2025-10-03 12:16:49"
"978443","845214","2025-10-08","69.30","NZD","2025-10-03 12:16:49"
"978443","845215","2025-10-08","44.10","NZD","2025-10-03 12:16:49"
"947257","800500","2025-10-09","61.60","NZD","2025-10-03 12:16:50"
"947257","808446","2025-10-09","39.20","NZD","2025-10-03 12:16:50"
"963010","822905","2025-10-09","62.70","NZD","2025-10-03 12:16:50"
"963010","822931","2025-10-09","39.90","NZD","2025-10-03 12:16:50"
"963009","822904","2025-10-09","63.80","NZD","2025-10-03 12:16:50"
"963009","822930","2025-10-09","40.60","NZD","2025-10-03 12:16:50"
"947254","800497","2025-10-09","68.20","NZD","2025-10-03 12:16:50"
"947254","808445","2025-10-09","43.40","NZD","2025-10-03 12:16:50"
"978443","845214","2025-10-09","69.30","NZD","2025-10-03 12:16:50"
"978443","845215","2025-10-09","44.10","NZD","2025-10-03 12:16:50"
"947257","800500","2025-10-10","61.60","NZD","2025-10-03 12:16:50"
"947257","808446","2025-10-10","39.20","NZD","2025-10-03 12:16:50"
"963010","822905","2025-10-10","62.70","NZD","2025-10-03 12:16:50"
"963010","822931","2025-10-10","39.90","NZD","2025-10-03 12:16:50"
"963009","822904","2025-10-10","63.80","NZD","2025-10-03 12:16:50"
"963009","822930","2025-10-10","40.60","NZD","2025-10-03 12:16:50"
"947254","800497","2025-10-10","68.20","NZD","2025-10-03 12:16:50"
"947254","808445","2025-10-10","43.40","NZD","2025-10-03 12:16:50"
"978443","845214","2025-10-10","69.30","NZD","2025-10-03 12:16:50"
"978443","845215","2025-10-10","44.10","NZD","2025-10-03 12:16:50"
"947257","800500","2025-10-11","61.60","NZD","2025-10-03 12:16:55"
"947257","808446","2025-10-11","39.20","NZD","2025-10-03 12:16:55"
"963010","822905","2025-10-11","62.70","NZD","2025-10-03 12:16:55"
"963010","822931","2025-10-11","39.90","NZD","2025-10-03 12:16:55"
"963009","822904","2025-10-11","63.80","NZD","2025-10-03 12:16:55"
"963009","822930","2025-10-11","40.60","NZD","2025-10-03 12:16:55"
"947254","800497","2025-10-11","68.20","NZD","2025-10-03 12:16:55"
"947254","808445","2025-10-11","43.40","NZD","2025-10-03 12:16:55"
"978443","845214","2025-10-11","69.30","NZD","2025-10-03 12:16:55"
"978443","845215","2025-10-11","44.10","NZD","2025-10-03 12:16:55"
"947257","800500","2025-10-12","61.60","NZD","2025-10-03 12:16:56"
"947257","808446","2025-10-12","39.20","NZD","2025-10-03 12:16:56"
"963010","822905","2025-10-12","62.70","NZD","2025-10-03 12:16:56"
"963010","822931","2025-10-12","39.90","NZD","2025-10-03 12:16:56"
"963009","822904","2025-10-12","63.80","NZD","2025-10-03 12:16:56"
"963009","822930","2025-10-12","40.60","NZD","2025-10-03 12:16:56"
"947254","800497","2025-10-12","68.20","NZD","2025-10-03 12:16:56"
"947254","808445","2025-10-12","43.40","NZD","2025-10-03 12:16:56"
"978443","845214","2025-10-12","69.30","NZD","2025-10-03 12:16:56"
"978443","845215","2025-10-12","44.10","NZD","2025-10-03 12:16:56"
"947257","800500","2025-10-13","61.60","NZD","2025-10-03 12:16:56"
"947257","808446","2025-10-13","39.20","NZD","2025-10-03 12:16:56"
"963010","822905","2025-10-13","62.70","NZD","2025-10-03 12:16:56"
"963010","822931","2025-10-13","39.90","NZD","2025-10-03 12:16:56"
"963009","822904","2025-10-13","63.80","NZD","2025-10-03 12:16:56"
"963009","822930","2025-10-13","40.60","NZD","2025-10-03 12:16:56"
"947254","800497","2025-10-13","68.20","NZD","2025-10-03 12:16:56"
"947254","808445","2025-10-13","43.40","NZD","2025-10-03 12:16:56"
"978443","845214","2025-10-13","69.30","NZD","2025-10-03 12:16:56"
"978443","845215","2025-10-13","44.10","NZD","2025-10-03 12:16:56"
"947257","800500","2025-10-14","61.60","NZD","2025-10-03 12:16:57"
"947257","808446","2025-10-14","39.20","NZD","2025-10-03 12:16:57"
"963010","822905","2025-10-14","62.70","NZD","2025-10-03 12:16:57"
"963010","822931","2025-10-14","39.90","NZD","2025-10-03 12:16:57"
"963009","822904","2025-10-14","63.80","NZD","2025-10-03 12:16:57"
"963009","822930","2025-10-14","40.60","NZD","2025-10-03 12:16:57"
"947254","800497","2025-10-14","68.20","NZD","2025-10-03 12:16:57"
"947254","808445","2025-10-14","43.40","NZD","2025-10-03 12:16:57"
"978443","845214","2025-10-14","69.30","NZD","2025-10-03 12:16:57"
"978443","845215","2025-10-14","44.10","NZD","2025-10-03 12:16:57"
"947257","800500","2025-10-15","61.60","NZD","2025-10-03 12:16:57"
"947257","808446","2025-10-15","39.20","NZD","2025-10-03 12:16:57"
"963010","822905","2025-10-15","62.70","NZD","2025-10-03 12:16:57"
"963010","822931","2025-10-15","39.90","NZD","2025-10-03 12:16:57"
"963009","822904","2025-10-15","63.80","NZD","2025-10-03 12:16:57"
"963009","822930","2025-10-15","40.60","NZD","2025-10-03 12:16:57"
"947254","800497","2025-10-15","68.20","NZD","2025-10-03 12:16:57"
"947254","808445","2025-10-15","43.40","NZD","2025-10-03 12:16:57"
"978443","845214","2025-10-15","69.30","NZD","2025-10-03 12:16:57"
"978443","845215","2025-10-15","44.10","NZD","2025-10-03 12:16:57"
"947257","800500","2025-10-16","61.60","NZD","2025-10-03 12:16:58"
"947257","808446","2025-10-16","39.20","NZD","2025-10-03 12:16:58"
"963010","822905","2025-10-16","62.70","NZD","2025-10-03 12:16:58"
"963010","822931","2025-10-16","39.90","NZD","2025-10-03 12:16:58"
"963009","822904","2025-10-16","63.80","NZD","2025-10-03 12:16:58"
"963009","822930","2025-10-16","40.60","NZD","2025-10-03 12:16:58"
"947254","800497","2025-10-16","68.20","NZD","2025-10-03 12:16:58"
"947254","808445","2025-10-16","43.40","NZD","2025-10-03 12:16:58"
"978443","845214","2025-10-16","69.30","NZD","2025-10-03 12:16:58"
"978443","845215","2025-10-16","44.10","NZD","2025-10-03 12:16:58"
"947257","800500","2025-10-17","68.20","NZD","2025-10-03 12:16:59"
"947257","808446","2025-10-17","43.40","NZD","2025-10-03 12:16:59"
"963010","822905","2025-10-17","69.30","NZD","2025-10-03 12:16:59"
"963010","822931","2025-10-17","44.10","NZD","2025-10-03 12:16:59"
"963009","822904","2025-10-17","70.40","NZD","2025-10-03 12:16:59"
"963009","822930","2025-10-17","44.80","NZD","2025-10-03 12:16:59"
"947254","800497","2025-10-17","74.80","NZD","2025-10-03 12:16:59"
"947254","808445","2025-10-17","47.60","NZD","2025-10-03 12:16:59"
"978443","845214","2025-10-17","75.90","NZD","2025-10-03 12:16:59"
"978443","845215","2025-10-17","48.30","NZD","2025-10-03 12:16:59"
"947257","800500","2025-10-18","73.70","NZD","2025-10-03 12:16:59"
"947257","808446","2025-10-18","46.90","NZD","2025-10-03 12:16:59"
"963010","822905","2025-10-18","74.80","NZD","2025-10-03 12:16:59"
"963010","822931","2025-10-18","47.60","NZD","2025-10-03 12:16:59"
"963009","822904","2025-10-18","75.90","NZD","2025-10-03 12:16:59"
"963009","822930","2025-10-18","48.30","NZD","2025-10-03 12:16:59"
"947254","800497","2025-10-18","80.30","NZD","2025-10-03 12:16:59"
"947254","808445","2025-10-18","51.10","NZD","2025-10-03 12:16:59"
"978443","845214","2025-10-18","81.40","NZD","2025-10-03 12:16:59"
"978443","845215","2025-10-18","51.80","NZD","2025-10-03 12:16:59"
"947257","800500","2025-10-19","60.50","NZD","2025-10-03 12:16:59"
"947257","808446","2025-10-19","38.50","NZD","2025-10-03 12:16:59"
