"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt"
"969100","831547","2025-10-04","33.35","NZD","2025-10-03 12:25:54"
"898075","724069","2025-10-04","37.95","NZD","2025-10-03 12:25:54"
"980695","848325","2025-10-04","46.00","NZD","2025-10-03 12:25:54"
"980682","848291","2025-10-04","49.45","NZD","2025-10-03 12:25:54"
"969100","831547","2025-10-05","33.35","NZD","2025-10-03 12:25:55"
"898075","724069","2025-10-05","37.95","NZD","2025-10-03 12:25:55"
"980695","848325","2025-10-05","46.00","NZD","2025-10-03 12:25:55"
"980682","848291","2025-10-05","49.45","NZD","2025-10-03 12:25:55"
"969100","831547","2025-10-06","33.35","NZD","2025-10-03 12:25:56"
"898075","724069","2025-10-06","37.95","NZD","2025-10-03 12:25:56"
"980695","848325","2025-10-06","46.00","NZD","2025-10-03 12:25:56"
"980682","848291","2025-10-06","49.45","NZD","2025-10-03 12:25:56"
"969100","831547","2025-10-07","33.35","NZD","2025-10-03 12:25:56"
"898075","724069","2025-10-07","37.95","NZD","2025-10-03 12:25:56"
"980695","848325","2025-10-07","46.00","NZD","2025-10-03 12:25:56"
"980682","848291","2025-10-07","49.45","NZD","2025-10-03 12:25:56"
"969100","831547","2025-10-08","33.35","NZD","2025-10-03 12:25:57"
"898075","724069","2025-10-08","37.95","NZD","2025-10-03 12:25:57"
"980695","848325","2025-10-08","46.00","NZD","2025-10-03 12:25:57"
"980682","848291","2025-10-08","49.45","NZD","2025-10-03 12:25:57"
"969100","831547","2025-10-09","43.70","NZD","2025-10-03 12:25:57"
"980695","848325","2025-10-09","46.00","NZD","2025-10-03 12:25:57"
"980682","848291","2025-10-09","49.45","NZD","2025-10-03 12:25:57"
"898075","724069","2025-10-09","51.75","NZD","2025-10-03 12:25:57"
"969100","831547","2025-10-10","43.70","NZD","2025-10-03 12:25:58"
"980695","848325","2025-10-10","46.00","NZD","2025-10-03 12:25:58"
"980682","848291","2025-10-10","49.45","NZD","2025-10-03 12:25:58"
"898075","724069","2025-10-10","51.75","NZD","2025-10-03 12:25:58"
"969100","831547","2025-10-11","43.70","NZD","2025-10-03 12:25:58"
"980695","848325","2025-10-11","46.00","NZD","2025-10-03 12:25:58"
"980682","848291","2025-10-11","49.45","NZD","2025-10-03 12:25:58"
"898075","724069","2025-10-11","51.75","NZD","2025-10-03 12:25:58"
"969100","831547","2025-10-12","43.70","NZD","2025-10-03 12:25:59"
"980695","848325","2025-10-12","46.00","NZD","2025-10-03 12:25:59"
"980682","848291","2025-10-12","49.45","NZD","2025-10-03 12:25:59"
"898075","724069","2025-10-12","51.75","NZD","2025-10-03 12:25:59"
"969100","831547","2025-10-13","43.70","NZD","2025-10-03 12:25:59"
"980695","848325","2025-10-13","46.00","NZD","2025-10-03 12:25:59"
"980682","848291","2025-10-13","49.45","NZD","2025-10-03 12:25:59"
"898075","724069","2025-10-13","51.75","NZD","2025-10-03 12:25:59"
"969100","831547","2025-10-14","43.70","NZD","2025-10-03 12:26:00"
"980695","848325","2025-10-14","46.00","NZD","2025-10-03 12:26:00"
"980682","848291","2025-10-14","49.45","NZD","2025-10-03 12:26:00"
"898075","724069","2025-10-14","51.75","NZD","2025-10-03 12:26:00"
"969100","831547","2025-10-15","43.70","NZD","2025-10-03 12:26:00"
"980695","848325","2025-10-15","46.00","NZD","2025-10-03 12:26:00"
"980682","848291","2025-10-15","49.45","NZD","2025-10-03 12:26:00"
"898075","724069","2025-10-15","51.75","NZD","2025-10-03 12:26:00"
"969100","831547","2025-10-16","43.70","NZD","2025-10-03 12:26:01"
"980695","848325","2025-10-16","46.00","NZD","2025-10-03 12:26:01"
"980682","848291","2025-10-16","49.45","NZD","2025-10-03 12:26:01"
"898075","724069","2025-10-16","51.75","NZD","2025-10-03 12:26:01"
"969100","831547","2025-10-17","43.70","NZD","2025-10-03 12:26:01"
"980695","848325","2025-10-17","46.00","NZD","2025-10-03 12:26:01"
"980682","848291","2025-10-17","49.45","NZD","2025-10-03 12:26:01"
"898075","724069","2025-10-17","51.75","NZD","2025-10-03 12:26:01"
"969100","831547","2025-10-18","43.70","NZD","2025-10-03 12:26:02"
"980695","848325","2025-10-18","46.00","NZD","2025-10-03 12:26:02"
"980682","848291","2025-10-18","49.45","NZD","2025-10-03 12:26:02"
"898075","724069","2025-10-18","51.75","NZD","2025-10-03 12:26:02"
"969100","831547","2025-10-19","43.70","NZD","2025-10-03 12:26:02"
"980695","848325","2025-10-19","46.00","NZD","2025-10-03 12:26:02"
