"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt"
"726802","432467","2025-10-04","35.00","NZD","2025-10-03 12:34:18"
"371100","151112","2025-10-04","35.00","NZD","2025-10-03 12:34:18"
"726803","432468","2025-10-04","36.00","NZD","2025-10-03 12:34:18"
"371100","151112","2025-10-05","35.00","NZD","2025-10-03 12:34:19"
"726802","432467","2025-10-05","35.00","NZD","2025-10-03 12:34:19"
"726803","432468","2025-10-05","36.00","NZD","2025-10-03 12:34:19"
"726802","432467","2025-10-06","35.00","NZD","2025-10-03 12:34:19"
"371100","151112","2025-10-06","35.00","NZD","2025-10-03 12:34:19"
"726803","432468","2025-10-06","36.00","NZD","2025-10-03 12:34:19"
"726802","432467","2025-10-07","35.00","NZD","2025-10-03 12:34:20"
"371100","151112","2025-10-07","35.00","NZD","2025-10-03 12:34:20"
"726803","432468","2025-10-07","36.00","NZD","2025-10-03 12:34:20"
"371100","151112","2025-10-08","35.00","NZD","2025-10-03 12:34:21"
"726802","432467","2025-10-08","35.00","NZD","2025-10-03 12:34:21"
"726803","432468","2025-10-08","36.00","NZD","2025-10-03 12:34:21"
"371100","151112","2025-10-09","35.00","NZD","2025-10-03 12:34:21"
"726802","432467","2025-10-09","35.00","NZD","2025-10-03 12:34:21"
"726803","432468","2025-10-09","36.00","NZD","2025-10-03 12:34:21"
"371100","151112","2025-10-10","35.00","NZD","2025-10-03 12:34:22"
"726802","432467","2025-10-10","35.00","NZD","2025-10-03 12:34:22"
"726803","432468","2025-10-10","36.00","NZD","2025-10-03 12:34:22"
"726802","432467","2025-10-11","35.00","NZD","2025-10-03 12:34:22"
"371100","151112","2025-10-11","35.00","NZD","2025-10-03 12:34:22"
"726803","432468","2025-10-11","36.00","NZD","2025-10-03 12:34:22"
"371100","151112","2025-10-12","35.00","NZD","2025-10-03 12:34:23"
"726802","432467","2025-10-12","35.00","NZD","2025-10-03 12:34:23"
"726803","432468","2025-10-12","36.00","NZD","2025-10-03 12:34:23"
