"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt"
"153722","144804","2025-10-04","38.00","NZD","2025-10-03 12:53:17"
"19752","144802","2025-10-04","40.00","NZD","2025-10-03 12:53:17"
"153722","144804","2025-10-05","38.00","NZD","2025-10-03 12:53:17"
"633657","296946","2025-10-05","40.00","NZD","2025-10-03 12:53:17"
"19752","144802","2025-10-05","40.00","NZD","2025-10-03 12:53:17"
"153722","144804","2025-10-06","38.00","NZD","2025-10-03 12:53:18"
"633657","296946","2025-10-06","40.00","NZD","2025-10-03 12:53:18"
"19752","144802","2025-10-06","40.00","NZD","2025-10-03 12:53:18"
"153722","144804","2025-10-07","38.00","NZD","2025-10-03 12:53:18"
"633657","296946","2025-10-07","40.00","NZD","2025-10-03 12:53:18"
"19752","144802","2025-10-07","40.00","NZD","2025-10-03 12:53:18"
"153722","144804","2025-10-08","38.00","NZD","2025-10-03 12:53:18"
"633657","296946","2025-10-08","40.00","NZD","2025-10-03 12:53:18"
"19752","144802","2025-10-08","40.00","NZD","2025-10-03 12:53:18"
"153722","144804","2025-10-09","38.00","NZD","2025-10-03 12:53:19"
"633657","296946","2025-10-09","40.00","NZD","2025-10-03 12:53:19"
"19752","144802","2025-10-09","40.00","NZD","2025-10-03 12:53:19"
"153722","144804","2025-10-10","38.00","NZD","2025-10-03 12:53:19"
"633657","296946","2025-10-10","40.00","NZD","2025-10-03 12:53:19"
"19752","144802","2025-10-10","40.00","NZD","2025-10-03 12:53:19"
"153722","144804","2025-10-11","38.00","NZD","2025-10-03 12:53:20"
"633657","296946","2025-10-11","40.00","NZD","2025-10-03 12:53:20"
"19752","144802","2025-10-11","40.00","NZD","2025-10-03 12:53:20"
"153722","144804","2025-10-12","38.00","NZD","2025-10-03 12:53:20"
"633657","296946","2025-10-12","40.00","NZD","2025-10-03 12:53:20"
"19752","144802","2025-10-12","40.00","NZD","2025-10-03 12:53:20"
"153722","144804","2025-10-13","38.00","NZD","2025-10-03 12:53:20"
"633657","296946","2025-10-13","40.00","NZD","2025-10-03 12:53:20"
"19752","144802","2025-10-13","40.00","NZD","2025-10-03 12:53:20"
"153722","144804","2025-10-14","38.00","NZD","2025-10-03 12:53:21"
"633657","296946","2025-10-14","40.00","NZD","2025-10-03 12:53:21"
"19752","144802","2025-10-14","40.00","NZD","2025-10-03 12:53:21"
"153722","144804","2025-10-15","38.00","NZD","2025-10-03 12:53:21"
"633657","296946","2025-10-15","40.00","NZD","2025-10-03 12:53:21"
"19752","144802","2025-10-15","40.00","NZD","2025-10-03 12:53:21"
"153722","144804","2025-10-16","38.00","NZD","2025-10-03 12:53:22"
"633657","296946","2025-10-16","40.00","NZD","2025-10-03 12:53:22"
"19752","144802","2025-10-16","40.00","NZD","2025-10-03 12:53:22"
"153722","144804","2025-10-17","38.00","NZD","2025-10-03 12:53:22"
"633657","296946","2025-10-17","40.00","NZD","2025-10-03 12:53:22"
"19752","144802","2025-10-17","40.00","NZD","2025-10-03 12:53:22"
"153722","144804","2025-10-18","38.00","NZD","2025-10-03 12:53:23"
"633657","296946","2025-10-18","40.00","NZD","2025-10-03 12:53:23"
"19752","144802","2025-10-18","40.00","NZD","2025-10-03 12:53:23"
"153722","144804","2025-10-19","38.00","NZD","2025-10-03 12:53:23"
"633657","296946","2025-10-19","40.00","NZD","2025-10-03 12:53:23"
"19752","144802","2025-10-19","40.00","NZD","2025-10-03 12:53:23"
"153722","144804","2025-10-20","38.00","NZD","2025-10-03 12:53:24"
"633657","296946","2025-10-20","40.00","NZD","2025-10-03 12:53:24"
"19752","144802","2025-10-20","40.00","NZD","2025-10-03 12:53:24"
"153722","144804","2025-10-21","38.00","NZD","2025-10-03 12:53:24"
"633657","296946","2025-10-21","40.00","NZD","2025-10-03 12:53:24"
"19752","144802","2025-10-21","40.00","NZD","2025-10-03 12:53:24"
"153722","144804","2025-10-22","38.00","NZD","2025-10-03 12:53:24"
"633657","296946","2025-10-22","40.00","NZD","2025-10-03 12:53:24"
"19752","144802","2025-10-22","40.00","NZD","2025-10-03 12:53:24"
"153722","144804","2025-10-23","38.00","NZD","2025-10-03 12:53:25"
"633657","296946","2025-10-23","40.00","NZD","2025-10-03 12:53:25"
