"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt"
"893553","717325","2025-10-04","59.85","NZD","2025-10-03 13:20:55"
"893553","733424","2025-10-04","50.87","NZD","2025-10-03 13:20:55"
"893555","717327","2025-10-04","61.75","NZD","2025-10-03 13:20:55"
"893555","733422","2025-10-04","52.77","NZD","2025-10-03 13:20:55"
"926565","768355","2025-10-04","61.75","NZD","2025-10-03 13:20:55"
"926565","770921","2025-10-04","52.77","NZD","2025-10-03 13:20:55"
"893554","717326","2025-10-04","63.41","NZD","2025-10-03 13:20:55"
"893554","733423","2025-10-04","54.60","NZD","2025-10-03 13:20:55"
"893553","717325","2025-10-05","63.00","NZD","2025-10-03 13:20:55"
"893553","733424","2025-10-05","53.55","NZD","2025-10-03 13:20:55"
"926565","768355","2025-10-05","65.00","NZD","2025-10-03 13:20:55"
"926565","770921","2025-10-05","55.55","NZD","2025-10-03 13:20:55"
"893554","717326","2025-10-05","66.67","NZD","2025-10-03 13:20:56"
"893554","733423","2025-10-05","57.38","NZD","2025-10-03 13:20:56"
"940981","790621","2025-10-05","59.55","NZD","2025-10-03 13:20:56"
"940981","790618","2025-10-05","69.00","NZD","2025-10-03 13:20:56"
"893553","717325","2025-10-06","64.00","NZD","2025-10-03 13:20:56"
"893553","733424","2025-10-06","54.40","NZD","2025-10-03 13:20:56"
"926565","768355","2025-10-06","66.00","NZD","2025-10-03 13:20:56"
"926565","770921","2025-10-06","56.40","NZD","2025-10-03 13:20:56"
"893554","717326","2025-10-06","67.67","NZD","2025-10-03 13:20:56"
"893554","733423","2025-10-06","58.07","NZD","2025-10-03 13:20:56"
"940981","790621","2025-10-06","60.40","NZD","2025-10-03 13:20:56"
"940981","790618","2025-10-06","70.00","NZD","2025-10-03 13:20:56"
"893553","717325","2025-10-07","63.00","NZD","2025-10-03 13:20:56"
"893553","733424","2025-10-07","53.55","NZD","2025-10-03 13:20:56"
"926565","768355","2025-10-07","65.00","NZD","2025-10-03 13:20:56"
"926565","770921","2025-10-07","55.55","NZD","2025-10-03 13:20:56"
