"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt"
"882442","701289","2025-10-04","28.62","NZD","2025-10-03 11:56:08"
"882442","778222","2025-10-04","27.19","NZD","2025-10-03 11:56:08"
"876916","692662","2025-10-04","31.80","NZD","2025-10-03 11:56:08"
"876916","854156","2025-10-04","30.21","NZD","2025-10-03 11:56:08"
"867658","678775","2025-10-04","31.80","NZD","2025-10-03 11:56:08"
"867658","854152","2025-10-04","30.21","NZD","2025-10-03 11:56:08"
"867656","678773","2025-10-04","33.92","NZD","2025-10-03 11:56:08"
"867656","854154","2025-10-04","32.22","NZD","2025-10-03 11:56:08"
"867657","678774","2025-10-04","34.98","NZD","2025-10-03 11:56:08"
"867657","854153","2025-10-04","33.23","NZD","2025-10-03 11:56:08"
"882440","701287","2025-10-04","37.10","NZD","2025-10-03 11:56:08"
"882440","854155","2025-10-04","35.25","NZD","2025-10-03 11:56:08"
"882439","701286","2025-10-04","40.28","NZD","2025-10-03 11:56:08"
"882439","854158","2025-10-04","38.27","NZD","2025-10-03 11:56:08"
"882442","701289","2025-10-05","28.62","NZD","2025-10-03 11:56:08"
"882442","778222","2025-10-05","27.19","NZD","2025-10-03 11:56:08"
"876916","692662","2025-10-05","31.80","NZD","2025-10-03 11:56:08"
"876916","854156","2025-10-05","30.21","NZD","2025-10-03 11:56:08"
"867658","678775","2025-10-05","31.80","NZD","2025-10-03 11:56:08"
"867658","854152","2025-10-05","30.21","NZD","2025-10-03 11:56:08"
"867656","678773","2025-10-05","33.92","NZD","2025-10-03 11:56:08"
"867656","854154","2025-10-05","32.22","NZD","2025-10-03 11:56:08"
"867657","678774","2025-10-05","34.98","NZD","2025-10-03 11:56:08"
"867657","854153","2025-10-05","33.23","NZD","2025-10-03 11:56:08"
"882440","701287","2025-10-05","37.10","NZD","2025-10-03 11:56:08"
"882440","854155","2025-10-05","35.25","NZD","2025-10-03 11:56:08"
"882442","701289","2025-10-06","28.62","NZD","2025-10-03 11:56:09"
"882442","778222","2025-10-06","27.19","NZD","2025-10-03 11:56:09"
"876916","692662","2025-10-06","31.80","NZD","2025-10-03 11:56:09"
"876916","854156","2025-10-06","30.21","NZD","2025-10-03 11:56:09"
"867658","678775","2025-10-06","31.80","NZD","2025-10-03 11:56:09"
"867658","854152","2025-10-06","30.21","NZD","2025-10-03 11:56:09"
"867656","678773","2025-10-06","33.92","NZD","2025-10-03 11:56:09"
"867656","854154","2025-10-06","32.22","NZD","2025-10-03 11:56:09"
"867657","678774","2025-10-06","34.98","NZD","2025-10-03 11:56:09"
"867657","854153","2025-10-06","33.23","NZD","2025-10-03 11:56:09"
"882440","701287","2025-10-06","37.10","NZD","2025-10-03 11:56:09"
"882440","854155","2025-10-06","35.25","NZD","2025-10-03 11:56:09"
"882439","701286","2025-10-06","40.28","NZD","2025-10-03 11:56:09"
"882439","854158","2025-10-06","38.27","NZD","2025-10-03 11:56:09"
"882442","701289","2025-10-07","28.62","NZD","2025-10-03 11:56:10"
"882442","778222","2025-10-07","27.19","NZD","2025-10-03 11:56:10"
"876916","692662","2025-10-07","31.80","NZD","2025-10-03 11:56:10"
"876916","854156","2025-10-07","30.21","NZD","2025-10-03 11:56:10"
"867658","678775","2025-10-07","31.80","NZD","2025-10-03 11:56:10"
"867658","854152","2025-10-07","30.21","NZD","2025-10-03 11:56:10"
"867656","678773","2025-10-07","33.92","NZD","2025-10-03 11:56:10"
"867656","854154","2025-10-07","32.22","NZD","2025-10-03 11:56:10"
"867657","678774","2025-10-07","34.98","NZD","2025-10-03 11:56:10"
"867657","854153","2025-10-07","33.23","NZD","2025-10-03 11:56:10"
