"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt"
"969191","831673","2025-10-25","70.35","NZD","2025-10-03 13:30:24"
"969188","831670","2025-10-25","73.50","NZD","2025-10-03 13:30:24"
"968777","831149","2025-10-25","80.85","NZD","2025-10-03 13:30:24"
"969192","831674","2025-10-25","80.85","NZD","2025-10-03 13:30:24"
"969187","831669","2025-10-25","86.10","NZD","2025-10-03 13:30:24"
"969186","831667","2025-10-25","86.10","NZD","2025-10-03 13:30:24"
"969190","831672","2025-10-25","86.10","NZD","2025-10-03 13:30:24"
"969184","831665","2025-10-25","91.35","NZD","2025-10-03 13:30:24"
"969189","831671","2025-10-25","91.35","NZD","2025-10-03 13:30:24"
"971462","834874","2025-10-25","126.00","NZD","2025-10-03 13:30:24"
"969191","831673","2025-10-26","70.35","NZD","2025-10-03 13:30:25"
"969188","831670","2025-10-26","73.50","NZD","2025-10-03 13:30:25"
"968777","831149","2025-10-26","80.85","NZD","2025-10-03 13:30:25"
"969192","831674","2025-10-26","80.85","NZD","2025-10-03 13:30:25"
"969187","831669","2025-10-26","86.10","NZD","2025-10-03 13:30:25"
"969186","831667","2025-10-26","86.10","NZD","2025-10-03 13:30:25"
"969190","831672","2025-10-26","86.10","NZD","2025-10-03 13:30:25"
"969184","831665","2025-10-26","91.35","NZD","2025-10-03 13:30:25"
"969189","831671","2025-10-26","91.35","NZD","2025-10-03 13:30:25"
"971462","834874","2025-10-26","126.00","NZD","2025-10-03 13:30:25"
"969191","831673","2025-10-27","70.35","NZD","2025-10-03 13:30:25"
"969188","831670","2025-10-27","73.50","NZD","2025-10-03 13:30:25"
"968777","831149","2025-10-27","80.85","NZD","2025-10-03 13:30:25"
"969192","831674","2025-10-27","80.85","NZD","2025-10-03 13:30:25"
"969187","831669","2025-10-27","86.10","NZD","2025-10-03 13:30:25"
"969186","831667","2025-10-27","86.10","NZD","2025-10-03 13:30:25"
"969190","831672","2025-10-27","86.10","NZD","2025-10-03 13:30:25"
"969184","831665","2025-10-27","91.35","NZD","2025-10-03 13:30:25"
"969189","831671","2025-10-27","91.35","NZD","2025-10-03 13:30:25"
"971462","834874","2025-10-27","126.00","NZD","2025-10-03 13:30:25"
"969191","831673","2025-10-28","70.35","NZD","2025-10-03 13:30:26"
"969188","831670","2025-10-28","73.50","NZD","2025-10-03 13:30:26"
"968777","831149","2025-10-28","80.85","NZD","2025-10-03 13:30:26"
"969192","831674","2025-10-28","80.85","NZD","2025-10-03 13:30:26"
"969187","831669","2025-10-28","86.10","NZD","2025-10-03 13:30:26"
"969186","831667","2025-10-28","86.10","NZD","2025-10-03 13:30:26"
"969190","831672","2025-10-28","86.10","NZD","2025-10-03 13:30:26"
"969184","831665","2025-10-28","91.35","NZD","2025-10-03 13:30:26"
"969189","831671","2025-10-28","91.35","NZD","2025-10-03 13:30:26"
"971462","834874","2025-10-28","126.00","NZD","2025-10-03 13:30:26"
"969191","831673","2025-10-29","70.35","NZD","2025-10-03 13:30:27"
"969188","831670","2025-10-29","73.50","NZD","2025-10-03 13:30:27"
"968777","831149","2025-10-29","80.85","NZD","2025-10-03 13:30:27"
"969192","831674","2025-10-29","80.85","NZD","2025-10-03 13:30:27"
"969187","831669","2025-10-29","86.10","NZD","2025-10-03 13:30:27"
"969186","831667","2025-10-29","86.10","NZD","2025-10-03 13:30:27"
"969190","831672","2025-10-29","86.10","NZD","2025-10-03 13:30:27"
"969184","831665","2025-10-29","91.35","NZD","2025-10-03 13:30:27"
"969189","831671","2025-10-29","91.35","NZD","2025-10-03 13:30:27"
"971462","834874","2025-10-29","126.00","NZD","2025-10-03 13:30:27"
"969191","831673","2025-10-30","70.35","NZD","2025-10-03 13:30:28"
"969188","831670","2025-10-30","73.50","NZD","2025-10-03 13:30:28"
"968777","831149","2025-10-30","80.85","NZD","2025-10-03 13:30:28"
"969192","831674","2025-10-30","80.85","NZD","2025-10-03 13:30:28"
"969187","831669","2025-10-30","86.10","NZD","2025-10-03 13:30:28"
"969186","831667","2025-10-30","86.10","NZD","2025-10-03 13:30:28"
"969190","831672","2025-10-30","86.10","NZD","2025-10-03 13:30:28"
"969184","831665","2025-10-30","91.35","NZD","2025-10-03 13:30:28"
"969189","831671","2025-10-30","91.35","NZD","2025-10-03 13:30:28"
"971462","834874","2025-10-30","126.00","NZD","2025-10-03 13:30:28"
"969191","831673","2025-10-31","70.35","NZD","2025-10-03 13:30:28"
"969188","831670","2025-10-31","73.50","NZD","2025-10-03 13:30:28"
"968777","831149","2025-10-31","80.85","NZD","2025-10-03 13:30:28"
"969192","831674","2025-10-31","80.85","NZD","2025-10-03 13:30:28"
"969187","831669","2025-10-31","86.10","NZD","2025-10-03 13:30:28"
"969186","831667","2025-10-31","86.10","NZD","2025-10-03 13:30:28"
"969190","831672","2025-10-31","86.10","NZD","2025-10-03 13:30:28"
"969184","831665","2025-10-31","91.35","NZD","2025-10-03 13:30:28"
"969189","831671","2025-10-31","91.35","NZD","2025-10-03 13:30:28"
"971462","834874","2025-10-31","126.00","NZD","2025-10-03 13:30:28"
"969191","831673","2025-11-01","70.35","NZD","2025-10-03 13:30:29"
"969188","831670","2025-11-01","73.50","NZD","2025-10-03 13:30:29"
"969192","831674","2025-11-01","80.85","NZD","2025-10-03 13:30:29"
"968777","831149","2025-11-01","80.85","NZD","2025-10-03 13:30:29"
"969190","831672","2025-11-01","86.10","NZD","2025-10-03 13:30:29"
"969186","831667","2025-11-01","86.10","NZD","2025-10-03 13:30:29"
"969187","831669","2025-11-01","86.10","NZD","2025-10-03 13:30:29"
"971462","834874","2025-11-01","126.00","NZD","2025-10-03 13:30:29"
