"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt"
"941614","791625","2025-10-04","50.40","NZD","2025-10-03 13:22:36"
"941611","791622","2025-10-04","53.10","NZD","2025-10-03 13:22:36"
"941614","791625","2025-10-05","50.40","NZD","2025-10-03 13:22:37"
"941611","791622","2025-10-05","53.10","NZD","2025-10-03 13:22:37"
"941614","791625","2025-10-06","50.40","NZD","2025-10-03 13:22:37"
"941611","791622","2025-10-06","53.10","NZD","2025-10-03 13:22:37"
"941614","791625","2025-10-07","50.40","NZD","2025-10-03 13:22:38"
"941611","791622","2025-10-07","53.10","NZD","2025-10-03 13:22:38"
"941614","791625","2025-10-08","50.40","NZD","2025-10-03 13:22:38"
"941611","791622","2025-10-08","53.10","NZD","2025-10-03 13:22:38"
"941614","791625","2025-10-09","50.40","NZD","2025-10-03 13:22:39"
"941611","791622","2025-10-09","53.10","NZD","2025-10-03 13:22:39"
"941614","791625","2025-10-10","50.40","NZD","2025-10-03 13:22:39"
"941611","791622","2025-10-10","53.10","NZD","2025-10-03 13:22:39"
"941614","791625","2025-10-11","50.40","NZD","2025-10-03 13:22:40"
"941611","791622","2025-10-11","53.10","NZD","2025-10-03 13:22:40"
"941614","791625","2025-10-12","50.40","NZD","2025-10-03 13:22:40"
"941611","791622","2025-10-12","53.10","NZD","2025-10-03 13:22:40"
"941614","791625","2025-10-13","50.40","NZD","2025-10-03 13:22:41"
"941611","791622","2025-10-13","53.10","NZD","2025-10-03 13:22:41"
"941614","791625","2025-10-14","50.40","NZD","2025-10-03 13:22:41"
"941611","791622","2025-10-14","53.10","NZD","2025-10-03 13:22:41"
"941614","791625","2025-10-15","50.40","NZD","2025-10-03 13:22:42"
"941611","791622","2025-10-15","53.10","NZD","2025-10-03 13:22:42"
"941614","791625","2025-10-16","50.40","NZD","2025-10-03 13:22:42"
"941611","791622","2025-10-16","53.10","NZD","2025-10-03 13:22:42"
"941614","791625","2025-10-17","50.40","NZD","2025-10-03 13:22:43"
"941611","791622","2025-10-17","53.10","NZD","2025-10-03 13:22:43"
"941614","791625","2025-10-18","50.40","NZD","2025-10-03 13:22:43"
"941611","791622","2025-10-18","53.10","NZD","2025-10-03 13:22:43"
"941614","791625","2025-10-19","50.40","NZD","2025-10-03 13:22:44"
"941611","791622","2025-10-19","53.10","NZD","2025-10-03 13:22:44"
"941614","791625","2025-10-20","50.40","NZD","2025-10-03 13:22:44"
"941611","791622","2025-10-20","53.10","NZD","2025-10-03 13:22:44"
"941614","791625","2025-10-21","50.40","NZD","2025-10-03 13:22:45"
"941611","791622","2025-10-21","53.10","NZD","2025-10-03 13:22:45"
"941614","791625","2025-10-22","50.40","NZD","2025-10-03 13:22:45"
"941611","791622","2025-10-22","53.10","NZD","2025-10-03 13:22:45"
"941614","791625","2025-10-23","50.40","NZD","2025-10-03 13:22:46"
"941611","791622","2025-10-23","53.10","NZD","2025-10-03 13:22:46"
"941614","791625","2025-10-24","50.40","NZD","2025-10-03 13:22:46"
"941611","791622","2025-10-24","53.10","NZD","2025-10-03 13:22:46"
"941614","791625","2025-10-25","50.40","NZD","2025-10-03 13:22:47"
"941611","791622","2025-10-25","53.10","NZD","2025-10-03 13:22:47"
"941614","791625","2025-10-26","50.40","NZD","2025-10-03 13:22:47"
"941611","791622","2025-10-26","53.10","NZD","2025-10-03 13:22:47"
"941614","791625","2025-10-27","50.40","NZD","2025-10-03 13:22:48"
"941611","791622","2025-10-27","53.10","NZD","2025-10-03 13:22:48"
"941614","791625","2025-10-28","50.40","NZD","2025-10-03 13:22:48"
"941611","791622","2025-10-28","53.10","NZD","2025-10-03 13:22:48"
"941614","791625","2025-10-29","50.40","NZD","2025-10-03 13:22:49"
"941611","791622","2025-10-29","53.10","NZD","2025-10-03 13:22:49"
"941614","791625","2025-10-30","50.40","NZD","2025-10-03 13:22:49"
"941611","791622","2025-10-30","53.10","NZD","2025-10-03 13:22:49"
"941614","791625","2025-10-31","50.40","NZD","2025-10-03 13:22:50"
"941611","791622","2025-10-31","53.10","NZD","2025-10-03 13:22:50"
"941614","791625","2025-11-01","62.10","NZD","2025-10-03 13:22:51"
"941611","791622","2025-11-01","64.80","NZD","2025-10-03 13:22:51"
"941614","791625","2025-11-02","62.10","NZD","2025-10-03 13:22:51"
"941611","791622","2025-11-02","64.80","NZD","2025-10-03 13:22:51"
"941614","791625","2025-11-03","62.10","NZD","2025-10-03 13:22:52"
"941611","791622","2025-11-03","64.80","NZD","2025-10-03 13:22:52"
"941614","791625","2025-11-04","62.10","NZD","2025-10-03 13:22:52"
"941611","791622","2025-11-04","64.80","NZD","2025-10-03 13:22:52"
"941614","791625","2025-11-05","62.10","NZD","2025-10-03 13:22:53"
"941611","791622","2025-11-05","64.80","NZD","2025-10-03 13:22:53"
"941614","791625","2025-11-06","62.10","NZD","2025-10-03 13:22:53"
"941611","791622","2025-11-06","64.80","NZD","2025-10-03 13:22:53"
"941614","791625","2025-11-07","62.10","NZD","2025-10-03 13:22:54"
"941611","791622","2025-11-07","64.80","NZD","2025-10-03 13:22:54"
"941614","791625","2025-11-08","62.10","NZD","2025-10-03 13:22:54"
"941611","791622","2025-11-08","64.80","NZD","2025-10-03 13:22:54"
"941614","791625","2025-11-09","62.10","NZD","2025-10-03 13:22:54"
"941611","791622","2025-11-09","64.80","NZD","2025-10-03 13:22:54"
"941614","791625","2025-11-10","62.10","NZD","2025-10-03 13:22:55"
"941611","791622","2025-11-10","64.80","NZD","2025-10-03 13:22:55"
"941614","791625","2025-11-11","62.10","NZD","2025-10-03 13:22:56"
"941611","791622","2025-11-11","64.80","NZD","2025-10-03 13:22:56"
"941614","791625","2025-11-12","62.10","NZD","2025-10-03 13:22:57"
"941611","791622","2025-11-12","64.80","NZD","2025-10-03 13:22:57"
"941614","791625","2025-11-13","62.10","NZD","2025-10-03 13:22:57"
"941611","791622","2025-11-13","64.80","NZD","2025-10-03 13:22:57"
"941614","791625","2025-11-14","69.30","NZD","2025-10-03 13:22:57"
"941614","791625","2025-11-16","64.80","NZD","2025-10-03 13:22:58"
"941611","791622","2025-11-16","69.30","NZD","2025-10-03 13:22:58"
"941614","791625","2025-11-17","64.80","NZD","2025-10-03 13:22:59"
"941611","791622","2025-11-17","69.30","NZD","2025-10-03 13:22:59"
"941614","791625","2025-11-18","64.80","NZD","2025-10-03 13:22:59"
"941611","791622","2025-11-18","69.30","NZD","2025-10-03 13:22:59"
"941614","791625","2025-11-19","64.80","NZD","2025-10-03 13:23:00"
"941611","791622","2025-11-19","69.30","NZD","2025-10-03 13:23:00"
"941614","791625","2025-11-20","64.80","NZD","2025-10-03 13:23:00"
"941611","791622","2025-11-20","69.30","NZD","2025-10-03 13:23:00"
"941614","791625","2025-11-21","64.80","NZD","2025-10-03 13:23:01"
"941611","791622","2025-11-21","69.30","NZD","2025-10-03 13:23:01"
"941614","791625","2025-11-22","64.80","NZD","2025-10-03 13:23:01"
"941611","791622","2025-11-22","69.30","NZD","2025-10-03 13:23:01"
"941614","791625","2025-11-23","64.80","NZD","2025-10-03 13:23:02"
"941611","791622","2025-11-23","69.30","NZD","2025-10-03 13:23:02"
"941614","791625","2025-11-24","64.80","NZD","2025-10-03 13:23:02"
"941611","791622","2025-11-24","69.30","NZD","2025-10-03 13:23:02"
"941614","791625","2025-11-25","64.80","NZD","2025-10-03 13:23:03"
"941611","791622","2025-11-25","69.30","NZD","2025-10-03 13:23:03"
"941614","791625","2025-11-26","64.80","NZD","2025-10-03 13:23:03"
"941611","791622","2025-11-26","69.30","NZD","2025-10-03 13:23:03"
"941614","791625","2025-11-27","64.80","NZD","2025-10-03 13:23:04"
"941611","791622","2025-11-27","69.30","NZD","2025-10-03 13:23:04"
"941614","791625","2025-11-28","64.80","NZD","2025-10-03 13:23:04"
"941611","791622","2025-11-28","69.30","NZD","2025-10-03 13:23:04"
"941614","791625","2025-11-29","64.80","NZD","2025-10-03 13:23:05"
"941611","791622","2025-11-29","69.30","NZD","2025-10-03 13:23:05"
"941614","791625","2025-11-30","64.80","NZD","2025-10-03 13:23:05"
"941611","791622","2025-11-30","69.30","NZD","2025-10-03 13:23:05"
"941614","791625","2025-12-01","64.80","NZD","2025-10-03 13:23:06"
"941611","791622","2025-12-01","69.30","NZD","2025-10-03 13:23:06"
"941614","791625","2025-12-02","64.80","NZD","2025-10-03 13:23:06"
"941611","791622","2025-12-02","69.30","NZD","2025-10-03 13:23:06"
"941614","791625","2025-12-03","64.80","NZD","2025-10-03 13:23:07"
"941611","791622","2025-12-03","69.30","NZD","2025-10-03 13:23:07"
"941614","791625","2025-12-04","64.80","NZD","2025-10-03 13:23:07"
"941611","791622","2025-12-04","69.30","NZD","2025-10-03 13:23:07"
"941614","791625","2025-12-05","64.80","NZD","2025-10-03 13:23:08"
"941611","791622","2025-12-05","69.30","NZD","2025-10-03 13:23:08"
"941614","791625","2025-12-06","64.80","NZD","2025-10-03 13:23:08"
"941611","791622","2025-12-06","69.30","NZD","2025-10-03 13:23:08"
"941614","791625","2025-12-07","64.80","NZD","2025-10-03 13:23:09"
"941611","791622","2025-12-07","69.30","NZD","2025-10-03 13:23:09"
"941614","791625","2025-12-08","64.80","NZD","2025-10-03 13:23:09"
"941611","791622","2025-12-08","69.30","NZD","2025-10-03 13:23:09"
"941614","791625","2025-12-09","64.80","NZD","2025-10-03 13:23:09"
"941611","791622","2025-12-09","69.30","NZD","2025-10-03 13:23:09"
"941614","791625","2025-12-10","64.80","NZD","2025-10-03 13:23:10"
"941611","791622","2025-12-10","69.30","NZD","2025-10-03 13:23:10"
