"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt"
"520282","145838","2025-10-04","57.00","NZD","2025-10-03 12:31:21"
"957786","815374","2025-10-04","60.50","NZD","2025-10-03 12:31:21"
"7142","145829","2025-10-04","65.00","NZD","2025-10-03 12:31:21"
"520282","145838","2025-10-05","57.00","NZD","2025-10-03 12:31:21"
"957786","815374","2025-10-05","60.50","NZD","2025-10-03 12:31:21"
"7142","145829","2025-10-05","65.00","NZD","2025-10-03 12:31:21"
"520282","145838","2025-10-06","57.00","NZD","2025-10-03 12:31:22"
"957786","815374","2025-10-06","60.50","NZD","2025-10-03 12:31:22"
"7142","145829","2025-10-06","65.00","NZD","2025-10-03 12:31:22"
"520282","145838","2025-10-07","57.00","NZD","2025-10-03 12:31:22"
"7142","145829","2025-10-07","65.00","NZD","2025-10-03 12:31:22"
"520282","145838","2025-10-08","57.00","NZD","2025-10-03 12:31:23"
"7142","145829","2025-10-08","65.00","NZD","2025-10-03 12:31:23"
"520282","145838","2025-10-09","57.00","NZD","2025-10-03 12:31:23"
"957786","815374","2025-10-09","60.50","NZD","2025-10-03 12:31:23"
"7142","145829","2025-10-09","65.00","NZD","2025-10-03 12:31:23"
"520282","145838","2025-10-10","57.00","NZD","2025-10-03 12:31:24"
"957786","815374","2025-10-10","60.50","NZD","2025-10-03 12:31:24"
"7142","145829","2025-10-10","65.00","NZD","2025-10-03 12:31:24"
"520282","145838","2025-10-11","57.00","NZD","2025-10-03 12:31:24"
"957786","815374","2025-10-11","60.50","NZD","2025-10-03 12:31:24"
"7142","145829","2025-10-11","65.00","NZD","2025-10-03 12:31:24"
"520282","145838","2025-10-12","57.00","NZD","2025-10-03 12:31:25"
"957786","815374","2025-10-12","60.50","NZD","2025-10-03 12:31:25"
"7142","145829","2025-10-12","65.00","NZD","2025-10-03 12:31:25"
"520282","145838","2025-10-13","57.00","NZD","2025-10-03 12:31:25"
"957786","815374","2025-10-13","60.50","NZD","2025-10-03 12:31:25"
"7142","145829","2025-10-13","65.00","NZD","2025-10-03 12:31:25"
"520282","145838","2025-10-14","57.00","NZD","2025-10-03 12:31:26"
"957786","815374","2025-10-14","60.50","NZD","2025-10-03 12:31:26"
"7142","145829","2025-10-14","65.00","NZD","2025-10-03 12:31:26"
"520282","145838","2025-10-15","57.00","NZD","2025-10-03 12:31:26"
"7142","145829","2025-10-15","65.00","NZD","2025-10-03 12:31:26"
"520282","145838","2025-10-16","57.00","NZD","2025-10-03 12:31:27"
"957786","815374","2025-10-16","60.50","NZD","2025-10-03 12:31:27"
"7142","145829","2025-10-16","65.00","NZD","2025-10-03 12:31:27"
"520282","145838","2025-10-17","57.00","NZD","2025-10-03 12:31:27"
"7142","145829","2025-10-17","65.00","NZD","2025-10-03 12:31:27"
"520282","145838","2025-10-18","57.00","NZD","2025-10-03 12:31:28"
"957786","815374","2025-10-18","60.50","NZD","2025-10-03 12:31:28"
"7142","145829","2025-10-18","65.00","NZD","2025-10-03 12:31:28"
"520282","145838","2025-10-19","57.00","NZD","2025-10-03 12:31:28"
"957786","815374","2025-10-19","60.50","NZD","2025-10-03 12:31:28"
"7142","145829","2025-10-19","65.00","NZD","2025-10-03 12:31:28"
"520282","145838","2025-10-20","57.00","NZD","2025-10-03 12:31:29"
"957786","815374","2025-10-20","60.50","NZD","2025-10-03 12:31:29"
"7142","145829","2025-10-20","65.00","NZD","2025-10-03 12:31:29"
"520282","145838","2025-10-21","57.00","NZD","2025-10-03 12:31:29"
"957786","815374","2025-10-21","60.50","NZD","2025-10-03 12:31:29"
"7142","145829","2025-10-21","65.00","NZD","2025-10-03 12:31:29"
"520282","145838","2025-10-22","57.00","NZD","2025-10-03 12:31:30"
"957786","815374","2025-10-22","60.50","NZD","2025-10-03 12:31:30"
"7142","145829","2025-10-22","65.00","NZD","2025-10-03 12:31:30"
"520282","145838","2025-10-23","57.00","NZD","2025-10-03 12:31:30"
"957786","815374","2025-10-23","60.50","NZD","2025-10-03 12:31:30"
"7142","145829","2025-10-23","65.00","NZD","2025-10-03 12:31:30"
"520282","145838","2025-10-24","57.00","NZD","2025-10-03 12:31:31"
"957786","815374","2025-10-24","60.50","NZD","2025-10-03 12:31:31"
"7142","145829","2025-10-24","65.00","NZD","2025-10-03 12:31:31"
"520282","145838","2025-10-25","57.00","NZD","2025-10-03 12:31:31"
